District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,660,700,685,01-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,660,700,685,02-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,660,700,685,03-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,675,750,700,04-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,680,750,700,06-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,675,750,700,07-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,680,750,700,08-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,675,750,715,10-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,675,750,715,13-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,690,750,725,15-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,680,750,725,16-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,690,750,725,17-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,700,750,735,18-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,695,750,735,20-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,700,750,735,21-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,700,760,740,22-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,700,760,740,23-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,700,760,740,24-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,725,775,750,25-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,700,760,740,27-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,730,760,745,28-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,710,760,740,29-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,700,760,740,30-Jan-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,740,780,760,04-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,740,780,760,05-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,800,785,06-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,800,785,07-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,800,780,10-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,800,780,11-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,800,780,12-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,800,780,13-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,765,800,785,14-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,800,785,15-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,800,780,17-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,760,790,775,18-Feb-03
Varanasi,Varanasi(Grain),Wheat,Other,FAQ,775,810,790,19-Feb-03
